,,Government support for,Government support for,Government support for,Government support for,Government support for,Government support for,Government support for,Government support for
Country,Year, Earmarked funds, Technical tools, Training programmes, At-risk groups targeted, Community programmes, Provision of information, Data dissemination, Research studies
Afghanistan, 2016,0,0,0,0,0,0,0,0
Albania, 2016,0,0,0,0,0,1,1,0
Algeria, 2016,0,0,0,0,0,0,0,0
Andorra, 2016,0,0,0,0,0,0,0,0
Angola, 2016,0,0,1,0,1,0,1,0
Antigua and Barbuda, 2016,0,0,1,0,0,1,0,0
Argentina, 2016,1,0,1,1,0,1,1,0
Armenia, 2016,0,0,0,0,0,0,0,0
Australia, 2016,1,0,0,1,0,0,0,0
Austria, 2016,0,0,0,0,0,0,0,0
Azerbaijan, 2016,0,0,1,1,0,1,0,0
Bahamas, 2016,0,1,1,1,1,0,0,0
Bangladesh, 2016,0,0,1,0,0,1,1,1
Barbados, 2016,1,1,1,1,1,1,1,1
Belarus, 2016,1,0,1,0,1,1,1,1
Belgium, 2016,0,0,1,0,1,0,1,1
Belize, 2016,0,0,0,1,1,1,1,1
Benin, 2016,0,0,1,1,1,0,0,0
Bhutan, 2016,1,0,1,0,1,1,1,1
Bosnia and Herzegovina, 2016,0,0,1,0,0,1,1,0
Botswana, 2016,1,0,1,0,1,1,0,0
Brazil, 2016,0,0,0,1,0,0,0,1
Bulgaria, 2016,1,0,1,0,1,0,0,0
Burkina Faso, 2016,1,0,0,0,0,1,0,1
Burundi, 2016,0,1,1,0,1,1,0,0
Cabo Verde, 2016,1,1,1,0,1,1,1,1
Cambodia, 2016,0,0,1,0,1,0,1,1
Cameroon, 2016,0,0,0,0,0,0,0,0
Canada, 2016,1,1,0,1,1,1,1,1
Central African Republic, 2016,0,0,0,0,0,0,0,0
Chad, 2016,0,1,1,0,1,1,0,0
Chile, 2016,1,1,1,0,0,1,0,0
China, 2016,0,0,0,0,0,0,0,0
Colombia, 2016,1,1,0,0,1,1,1,0
Comoros, 2016,0,0,0,0,0,0,0,0
Congo, 2016,0,0,0,0,0,0,0,0
Costa Rica, 2016,1,0,1,1,0,1,1,0
C̫te d'Ivoire, 2016,0,0,1,1,0,1,0,1
Croatia, 2016,1,0,1,1,1,1,1,1
Cuba, 2016,0,1,1,1,1,1,1,1
Cyprus, 2016,0,0,1,1,1,1,1,1
Czechia, 2016,0,0,1,1,1,1,1,1
Democratic Republic of the Congo, 2016,0,0,0,0,0,0,0,0
Denmark, 2016,1,1,1,1,0,1,1,0
Djibouti, 2016,0,0,0,0,0,0,0,0
Dominica, 2016,1,1,1,1,1,1,1,1
Dominican Republic, 2016,1,1,1,0,1,1,0,1
Ecuador, 2016,0,1,0,1,0,1,0,0
Egypt, 2016,0,0,0,1,0,1,0,1
El Salvador, 2016,1,1,1,0,0,1,1,1
Equatorial Guinea, 2016,0,0,1,0,1,1,0,0
Eritrea, 2016,0,1,1,0,0,1,0,1
Estonia, 2016,0,1,1,0,0,1,1,1
Eswatini, 2016,1,0,1,0,0,0,0,1
Ethiopia, 2016,0,0,0,0,0,0,0,0
Finland, 2016,0,1,0,0,0,1,1,1
France, 2016,1,0,0,0,0,1,0,0
Gabon, 2016,0,0,0,0,0,0,0,0
Gambia, 2016,0,0,0,0,0,0,0,0
Georgia, 2016,0,0,1,0,0,0,0,0
Germany, 2016,0,1,1,1,1,0,1,0
Ghana, 2016,0,0,0,0,0,1,0,0
Greece, 2016,1,0,1,0,0,0,0,0
Grenada, 2016,1,0,1,1,0,1,1,1
Guatemala, 2016,0,0,1,0,1,0,0,0
Guinea, 2016,0,0,0,0,0,0,0,0
Guinea-Bissau, 2016,0,0,0,0,0,0,0,0
Guyana, 2016,0,0,1,1,1,1,1,1
Honduras, 2016,1,1,1,1,1,1,1,1
Hungary, 2016,1,0,0,1,1,0,0,0
Iceland, 2016,1,1,0,0,0,1,1,1
India, 2016,0,0,0,0,0,0,0,0
Indonesia, 2016,0,1,0,1,0,0,0,1
Iran (Islamic Republic of), 2016,0,0,1,1,0,0,0,1
Iraq, 2016,1,0,1,0,0,1,0,1
Ireland, 2016,1,1,1,1,0,1,0,0
Israel, 2016,1,1,1,1,1,1,1,1
Italy, 2016,1,1,1,0,0,1,1,1
Jamaica, 2016,0,0,1,0,0,1,1,1
Japan, 2016,0,1,0,0,0,0,1,1
Jordan, 2016,0,0,0,1,0,0,0,0
Kazakhstan, 2016,1,0,1,0,0,0,0,1
Kenya, 2016,1,0,1,1,1,1,1,1
Kiribati, 2016,1,1,1,1,1,1,1,1
Lao People's Democratic Republic, 2016,0,0,0,0,0,0,0,0
Latvia, 2016,0,0,0,0,0,1,1,1
Lebanon, 2016,0,0,0,0,1,1,0,0
Lesotho, 2016,0,0,0,0,0,0,0,0
Liberia, 2016,0,0,0,0,0,0,0,0
Libya, 2016,0,0,0,0,0,0,0,0
Lithuania, 2016,1,1,1,1,1,1,1,1
Luxembourg, 2016,0,0,0,0,0,1,1,1
Madagascar, 2016,0,0,0,0,0,1,0,0
Malawi, 2016,0,0,0,0,0,0,0,0
Malaysia, 2016,1,1,1,1,1,1,1,1
Mali, 2016,0,0,0,0,0,0,0,0
Malta, 2016,1,1,1,0,0,1,0,0
Marshall Islands, 2016,0,1,1,1,1,1,1,1
Mauritania, 2016,0,0,0,0,0,0,0,0
Mauritius, 2016,1,0,1,1,1,1,1,1
Mexico, 2016,0,1,1,1,0,0,0,1
Monaco, 2016,0,0,0,0,0,0,0,0
Mongolia, 2016,1,0,0,0,0,0,0,0
Montenegro, 2016,1,0,0,0,0,0,0,0
Morocco, 2016,1,0,0,1,1,1,1,1
Mozambique, 2016,0,0,1,0,0,1,1,0
Myanmar, 2016,0,0,0,0,0,0,0,0
Namibia, 2016,0,0,1,0,0,1,0,1
Netherlands, 2016,0,0,0,0,0,1,1,0
New Zealand, 2016,1,1,1,1,0,1,1,1
Nicaragua, 2016,1,1,1,1,1,1,1,1
Niger, 2016,0,0,0,0,0,0,0,0
Nigeria, 2016,0,0,1,0,0,0,0,0
Norway, 2016,0,1,0,0,0,1,0,1
Oman, 2016,0,0,0,0,0,0,0,0
Pakistan, 2016,0,0,0,0,0,0,0,0
Panama, 2016,0,0,1,1,1,0,0,0
Paraguay, 2016,0,1,1,1,1,1,1,1
Peru, 2016,1,0,1,0,1,1,0,0
Philippines, 2016,0,0,0,0,1,0,0,0
Poland, 2016,1,0,1,0,0,1,1,0
Portugal, 2016,1,1,1,1,1,1,1,1
Republic of Korea, 2016,0,0,1,0,0,1,0,0
Republic of Moldova, 2016,0,0,1,1,1,0,1,1
Romania, 2016,0,1,0,0,0,1,1,0
Russian Federation, 2016,1,0,0,0,0,0,0,0
Rwanda, 2016,0,1,1,1,1,1,1,1
Saint Kitts and Nevis, 2016,0,0,1,0,1,0,0,0
Saint Lucia, 2016,0,0,1,1,1,1,1,1
Saint Vincent and the Grenadines, 2016,0,0,0,0,0,0,0,0
Samoa, 2016,1,1,1,1,1,1,1,1
San Marino, 2016,0,0,0,0,0,0,0,0
Sao Tome and Principe, 2016,0,0,0,0,0,0,0,0
Senegal, 2016,0,0,0,0,0,0,1,1
Serbia, 2016,0,0,1,0,0,1,1,1
Seychelles, 2016,1,1,1,1,1,1,1,0
Sierra Leone, 2016,0,0,1,0,0,1,0,0
Singapore, 2016,1,0,1,0,0,1,0,0
Slovakia, 2016,0,0,0,0,1,0,0,1
Slovenia, 2016,1,1,1,1,1,1,1,1
Somalia, 2016,0,0,0,0,0,0,0,0
South Africa, 2016,0,0,0,0,0,0,0,0
South Sudan, 2016,0,0,0,0,0,1,1,1
Spain, 2016,1,1,1,0,1,1,1,1
Sri Lanka, 2016,0,0,1,1,1,0,0,0
Sudan, 2016,0,0,0,0,0,0,0,0
Suriname, 2016,0,0,0,0,0,0,0,0
Sweden, 2016,1,1,0,0,1,1,1,0
Switzerland, 2016,1,1,1,1,0,1,1,1
Syrian Arab Republic, 2016,0,0,0,0,0,1,0,0
Tajikistan, 2016,0,0,0,1,0,0,1,1
Thailand, 2016,1,1,1,0,0,1,0,0
Republic of North Macedonia, 2016,0,0,1,0,1,0,0,0
Timor-Leste, 2016,0,1,1,1,1,1,1,1
Togo, 2016,0,0,0,0,0,0,0,0
Trinidad and Tobago, 2016,1,1,1,1,1,1,1,1
Turkey, 2016,0,0,0,0,0,0,0,0
Turkmenistan, 2016,0,0,0,1,0,0,1,0
Uganda, 2016,0,0,0,0,0,0,0,0
Ukraine, 2016,0,0,0,0,0,0,0,0
United Arab Emirates, 2016,0,0,0,0,0,0,0,0
United Kingdom of Great Britain and Northern Ireland, 2016,1,1,1,1,1,1,1,0
United Republic of Tanzania, 2016,0,0,0,0,0,0,0,0
United States of America, 2016,1,1,1,1,1,1,1,1
Uruguay, 2016,1,0,0,1,0,0,0,0
Uzbekistan, 2016,1,1,0,0,0,1,1,1
Vanuatu, 2016,0,1,1,0,1,1,1,1
Venezuela (Bolivarian Republic of), 2016,1,1,1,0,1,0,0,0
Viet Nam, 2016,0,1,0,1,0,1,1,1
Yemen, 2016,0,0,0,0,0,0,0,0
Zambia, 2016,0,0,1,0,0,1,1,1
Zimbabwe, 2016,0,0,0,1,1,1,1,0
