"","","Restrictions on alcohol use in","Restrictions on alcohol use in","Restrictions on alcohol use in","Restrictions on alcohol use in","Restrictions on alcohol use in","Restrictions on alcohol use in","Restrictions on alcohol use in","Restrictions on alcohol use in","Restrictions on alcohol use in"
"Country","Year"," Educational buildings"," Government offices"," Healthcare establishments"," Leisure events"," Parks and streets"," Public transport"," Places of worship"," Sporting events"," Workplaces"
"Afghanistan"," 2016","ban","ban","ban","ban","ban","ban","ban","ban","ban"
"Albania"," 2016","ban","partial restriction","ban","voluntary/self-restricted","no restrictions","voluntary/self-restricted","ban","ban","ban"
"Algeria"," 2016","ban","ban","ban","ban","ban","ban","ban","ban","ban"
"Andorra"," 2016","partial restriction","no restrictions","no restrictions","partial restriction","partial restriction","no restrictions","no restrictions","no restrictions","partial restriction"
"Angola"," 2016","partial restriction","partial restriction","partial restriction","no restrictions","no restrictions","no restrictions","partial restriction","no restrictions","partial restriction"
"Antigua and Barbuda"," 2016","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","no restrictions","no restrictions","no restrictions","voluntary/self-restricted","no restrictions","voluntary/self-restricted"
"Argentina"," 2016","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted"
"Armenia"," 2016","ban","partial restriction","ban","no restrictions","no restrictions","ban","no restrictions","no restrictions","ban"
"Australia"," 2016","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","partial restriction","partial restriction","partial restriction","voluntary/self-restricted","partial restriction","voluntary/self-restricted"
"Austria"," 2016","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","partial restriction","partial restriction","partial restriction","voluntary/self-restricted","partial restriction","voluntary/self-restricted"
"Azerbaijan"," 2016","ban","ban","ban","partial restriction","partial restriction","ban","ban","ban","partial restriction"
"Bahamas"," 2016","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted"
"Bahrain"," 2016","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Bangladesh"," 2016","ban","ban","ban","ban","ban","ban","ban","ban","ban"
"Barbados"," 2016","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","no restrictions","no restrictions","voluntary/self-restricted","voluntary/self-restricted","no restrictions","voluntary/self-restricted"
"Belarus"," 2016","ban","ban","ban","ban","ban","ban","ban","ban","ban"
"Belgium"," 2016","partial restriction","voluntary/self-restricted","partial restriction","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","partial restriction"
"Belize"," 2016","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted"
"Benin"," 2016","voluntary/self-restricted","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions"
"Bhutan"," 2016","ban","ban","voluntary/self-restricted","no restrictions","no restrictions","ban","ban","voluntary/self-restricted","ban"
"Bolivia (Plurinational State of)"," 2016","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Bosnia and Herzegovina"," 2016","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","no restrictions","voluntary/self-restricted","voluntary/self-restricted","ban","voluntary/self-restricted"
"Botswana"," 2016","ban","ban","ban","partial restriction","ban","ban","ban","partial restriction","ban"
"Brazil"," 2016","ban","partial restriction","ban","voluntary/self-restricted","no restrictions","partial restriction","no restrictions","voluntary/self-restricted","voluntary/self-restricted"
"Brunei Darussalam"," 2016","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Bulgaria"," 2016","ban","partial restriction","ban","partial restriction","voluntary/self-restricted","voluntary/self-restricted","no restrictions","ban","voluntary/self-restricted"
"Burkina Faso"," 2016","ban","ban","ban","no restrictions","no restrictions","no restrictions","no restrictions","ban","ban"
"Burundi"," 2016","ban","ban","ban","no restrictions","no restrictions","no restrictions","voluntary/self-restricted","no restrictions","ban"
"Cabo Verde"," 2016","ban","ban","ban","no restrictions","no restrictions","no restrictions","voluntary/self-restricted","no restrictions","ban"
"Cambodia"," 2016","ban","ban","ban","no restrictions","no restrictions","no restrictions","ban","no restrictions","voluntary/self-restricted"
"Cameroon"," 2016","ban","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions"
"Canada"," 2016","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Central African Republic"," 2016","ban","partial restriction","partial restriction","voluntary/self-restricted","voluntary/self-restricted","ban","ban","voluntary/self-restricted","partial restriction"
"Chad"," 2016","ban","ban","ban","no restrictions","no restrictions","ban","partial restriction","partial restriction","ban"
"Chile"," 2016","ban","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","ban","ban","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted"
"China"," 2016","ban","ban","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions"
"Colombia"," 2016","ban","ban","partial restriction","partial restriction","partial restriction","ban","voluntary/self-restricted","partial restriction","ban"
"Comoros"," 2016","ban","ban","ban","ban","ban","ban","ban","ban","ban"
"Congo"," 2016","ban","ban","ban","no restrictions","no restrictions","ban","ban","ban","ban"
"Cook Islands"," 2016","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Costa Rica"," 2016","ban","ban","ban","partial restriction","partial restriction","ban","ban","ban","ban"
"C̫te d'Ivoire"," 2016","ban","ban","ban","voluntary/self-restricted","no restrictions","ban","ban","no restrictions","ban"
"Croatia"," 2016","ban","partial restriction","ban","partial restriction","partial restriction","ban","partial restriction","voluntary/self-restricted","ban"
"Cuba"," 2016","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Cyprus"," 2016","ban","ban","ban","partial restriction","partial restriction","ban","ban","partial restriction","partial restriction"
"Czechia"," 2016","ban","ban","ban","voluntary/self-restricted","partial restriction","partial restriction","voluntary/self-restricted","partial restriction","ban"
"Democratic People's Republic of Korea"," 2016","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Democratic Republic of the Congo"," 2016","ban","no restrictions","partial restriction","no restrictions","no restrictions","no restrictions","ban","no restrictions","no restrictions"
"Denmark"," 2016","voluntary/self-restricted","voluntary/self-restricted","no restrictions","no restrictions","no restrictions","partial restriction","no restrictions","no restrictions","voluntary/self-restricted"
"Djibouti"," 2016","ban","ban","ban","ban","ban","ban","ban","ban","ban"
"Dominica"," 2016","ban","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions"
"Dominican Republic"," 2016","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","ban","ban","no restrictions","no restrictions"
"Ecuador"," 2016","ban","ban","ban","ban","ban","ban","no restrictions","partial restriction","ban"
"Egypt"," 2016","ban","ban","ban","ban","ban","ban","ban","ban","ban"
"El Salvador"," 2016","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted"
"Equatorial Guinea"," 2016","ban","ban","ban","partial restriction","partial restriction","partial restriction","ban","partial restriction","ban"
"Eritrea"," 2016","ban","ban","ban","no restrictions","voluntary/self-restricted","ban","ban","ban","ban"
"Estonia"," 2016","partial restriction","no restrictions","ban","no restrictions","ban","partial restriction","no restrictions","no restrictions","no restrictions"
"Eswatini"," 2016","voluntary/self-restricted","partial restriction","partial restriction","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","partial restriction"
"Ethiopia"," 2016","ban","ban","ban","no restrictions","no restrictions","ban","voluntary/self-restricted","ban","ban"
"Fiji"," 2016","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Finland"," 2016","ban","ban","ban","ban","partial restriction","ban","ban","ban","voluntary/self-restricted"
"France"," 2016","ban","no restrictions","ban","no restrictions","no restrictions","partial restriction","ban","partial restriction","partial restriction"
"Gabon"," 2016","ban","ban","ban","no restrictions","no restrictions","no restrictions","ban","partial restriction","ban"
"Gambia"," 2016","ban","ban","ban","voluntary/self-restricted","no restrictions","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted"
"Georgia"," 2016","ban","ban","ban","ban","ban","ban","ban","ban","ban"
"Germany"," 2016","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","no restrictions","no restrictions","partial restriction","no restrictions","no restrictions","voluntary/self-restricted"
"Ghana"," 2016","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","no restrictions","no restrictions","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted"
"Greece"," 2016","ban","ban","ban","no restrictions","no restrictions","ban","ban","ban","ban"
"Grenada"," 2016","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted"
"Guatemala"," 2016","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Guinea"," 2016","ban","ban","ban","no restrictions","ban","ban","partial restriction","voluntary/self-restricted","ban"
"Guinea-Bissau"," 2016","partial restriction","partial restriction","partial restriction","no restrictions","no restrictions","no restrictions","partial restriction","partial restriction","partial restriction"
"Guyana"," 2016","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","partial restriction"
"Haiti"," 2016","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Honduras"," 2016","no restrictions","no restrictions","no restrictions","voluntary/self-restricted","no restrictions","no restrictions","no restrictions","voluntary/self-restricted","no restrictions"
"Hungary"," 2016","ban","voluntary/self-restricted","ban","no restrictions","partial restriction","partial restriction","voluntary/self-restricted","partial restriction","ban"
"Iceland"," 2016","partial restriction","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted"
"India"," 2016","ban","ban","ban","voluntary/self-restricted","ban","ban","ban","ban","ban"
"Indonesia"," 2016","ban","voluntary/self-restricted","no restrictions","no restrictions","no restrictions","voluntary/self-restricted","no restrictions","no restrictions","no restrictions"
"Iran (Islamic Republic of)"," 2016","ban","ban","ban","ban","ban","ban","ban","ban","ban"
"Iraq"," 2016","ban","ban","ban","partial restriction","ban","ban","ban","ban","ban"
"Ireland"," 2016","partial restriction","partial restriction","partial restriction","partial restriction","voluntary/self-restricted","voluntary/self-restricted","partial restriction","partial restriction","partial restriction"
"Israel"," 2016","partial restriction","partial restriction","partial restriction","partial restriction","ban","partial restriction","partial restriction","partial restriction","partial restriction"
"Italy"," 2016","ban","voluntary/self-restricted","ban","partial restriction","partial restriction","ban","no restrictions","partial restriction","partial restriction"
"Jamaica"," 2016","voluntary/self-restricted","ban","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted"
"Japan"," 2016","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions"
"Jordan"," 2016","ban","ban","ban","ban","ban","ban","ban","ban","ban"
"Kazakhstan"," 2016","ban","ban","ban","ban","ban","ban","ban","ban","ban"
"Kenya"," 2016","ban","ban","ban","no restrictions","no restrictions","no restrictions","partial restriction","no restrictions","ban"
"Kiribati"," 2016","ban","ban","ban","no restrictions","no restrictions","ban","partial restriction","no restrictions","ban"
"Kuwait"," 2016","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Kyrgyzstan"," 2016","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Lao People's Democratic Republic"," 2016","ban","ban","ban","no restrictions","no restrictions","ban","ban","ban","ban"
"Latvia"," 2016","ban","ban","ban","partial restriction","partial restriction","partial restriction","partial restriction","partial restriction","ban"
"Lebanon"," 2016","ban","ban","ban","no restrictions","no restrictions","voluntary/self-restricted","ban","no restrictions","ban"
"Lesotho"," 2016","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","no restrictions","no restrictions","no restrictions","voluntary/self-restricted","no restrictions","partial restriction"
"Liberia"," 2016","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","no restrictions","no restrictions","no restrictions","ban","voluntary/self-restricted","ban"
"Libya"," 2016","ban","ban","ban","ban","ban","ban","ban","ban","ban"
"Lithuania"," 2016","ban","ban","ban","partial restriction","ban","ban","ban","partial restriction","ban"
"Luxembourg"," 2016","no restrictions","no restrictions","voluntary/self-restricted","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions"
"Madagascar"," 2016","ban","ban","ban","voluntary/self-restricted","ban","ban","ban","ban","ban"
"Malawi"," 2016","ban","ban","ban","no restrictions","ban","ban","ban","ban","ban"
"Malaysia"," 2016","partial restriction","partial restriction","voluntary/self-restricted","no restrictions","no restrictions","no restrictions","voluntary/self-restricted","voluntary/self-restricted","ban"
"Maldives"," 2016","ban","ban","ban","ban","ban","ban","ban","ban","ban"
"Mali"," 2016","partial restriction","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","partial restriction","no restrictions","no restrictions"
"Malta"," 2016","ban","partial restriction","ban","partial restriction","partial restriction","ban","voluntary/self-restricted","partial restriction","voluntary/self-restricted"
"Marshall Islands"," 2016","ban","ban","ban","ban","ban","ban","ban","ban","ban"
"Mauritania"," 2016","ban","ban","ban","ban","ban","ban","ban","ban","ban"
"Mauritius"," 2016","ban","ban","ban","ban","ban","ban","ban","ban","ban"
"Mexico"," 2016","ban","ban","ban","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","ban"
"Micronesia (Federated States of)"," 2016","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Monaco"," 2016","ban","ban","no restrictions","no restrictions","no restrictions","no restrictions","voluntary/self-restricted","ban","voluntary/self-restricted"
"Mongolia"," 2016","ban","ban","ban","voluntary/self-restricted","no restrictions","ban","no restrictions","partial restriction","ban"
"Montenegro"," 2016","no restrictions","no restrictions","no restrictions","ban","ban","ban","ban","ban","ban"
"Morocco"," 2016","ban","ban","ban","ban","ban","ban","ban","ban","ban"
"Mozambique"," 2016","ban","ban","ban","no restrictions","partial restriction","ban","voluntary/self-restricted","no restrictions","ban"
"Myanmar"," 2016","ban","ban","ban","partial restriction","partial restriction","partial restriction","ban","partial restriction","partial restriction"
"Namibia"," 2016","voluntary/self-restricted","ban","ban","no restrictions","ban","voluntary/self-restricted","voluntary/self-restricted","no restrictions","ban"
"Nauru"," 2016","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Nepal"," 2016","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Netherlands"," 2016","partial restriction","partial restriction","partial restriction","partial restriction","voluntary/self-restricted","partial restriction","partial restriction","partial restriction","voluntary/self-restricted"
"New Zealand"," 2016","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","partial restriction","partial restriction","partial restriction","no restrictions","partial restriction","voluntary/self-restricted"
"Nicaragua"," 2016","No data","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","no restrictions","voluntary/self-restricted","voluntary/self-restricted","partial restriction","No data"
"Niger"," 2016","ban","ban","ban","no restrictions","ban","ban","ban","ban","ban"
"Nigeria"," 2016","ban","ban","ban","no restrictions","no restrictions","voluntary/self-restricted","ban","partial restriction","ban"
"Niue"," 2016","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Norway"," 2016","partial restriction","partial restriction","partial restriction","voluntary/self-restricted","ban","partial restriction","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted"
"Oman"," 2016","ban","ban","ban","ban","ban","ban","ban","ban","ban"
"Pakistan"," 2016","ban","ban","ban","ban","ban","ban","ban","ban","ban"
"Palau"," 2016","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Panama"," 2016","ban","ban","ban","no restrictions","ban","ban","voluntary/self-restricted","no restrictions","ban"
"Papua New Guinea"," 2016","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Paraguay"," 2016","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions"
"Peru"," 2016","partial restriction","No data","ban","no restrictions","partial restriction","voluntary/self-restricted","voluntary/self-restricted","ban","ban"
"Philippines"," 2016","ban","ban","ban","ban","ban","ban","ban","no restrictions","ban"
"Poland"," 2016","ban","voluntary/self-restricted","voluntary/self-restricted","partial restriction","ban","ban","voluntary/self-restricted","partial restriction","no restrictions"
"Portugal"," 2016","partial restriction","partial restriction","ban","partial restriction","partial restriction","partial restriction","voluntary/self-restricted","partial restriction","partial restriction"
"Qatar"," 2016","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Republic of Korea"," 2016","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions"
"Republic of Moldova"," 2016","ban","ban","ban","partial restriction","ban","ban","voluntary/self-restricted","partial restriction","ban"
"Romania"," 2016","ban","ban","ban","ban","ban","ban","voluntary/self-restricted","ban","ban"
"Russian Federation"," 2016","ban","partial restriction","ban","partial restriction","partial restriction","ban","no restrictions","ban","partial restriction"
"Rwanda"," 2016","ban","ban","ban","voluntary/self-restricted","partial restriction","ban","no restrictions","partial restriction","ban"
"Saint Kitts and Nevis"," 2016","partial restriction","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions"
"Saint Lucia"," 2016","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted"
"Saint Vincent and the Grenadines"," 2016","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","no restrictions","no restrictions","no restrictions","voluntary/self-restricted","no restrictions","voluntary/self-restricted"
"Samoa"," 2016","ban","ban","ban","ban","ban","ban","ban","ban","ban"
"San Marino"," 2016","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","partial restriction","no restrictions"
"Sao Tome and Principe"," 2016","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions"
"Saudi Arabia"," 2016","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Senegal"," 2016","ban","ban","ban","partial restriction","partial restriction","ban","ban","ban","ban"
"Serbia"," 2016","ban","ban","ban","voluntary/self-restricted","ban","ban","voluntary/self-restricted","voluntary/self-restricted","ban"
"Seychelles"," 2016","ban","ban","ban","voluntary/self-restricted","partial restriction","ban","ban","ban","ban"
"Sierra Leone"," 2016","ban","ban","ban","no restrictions","no restrictions","voluntary/self-restricted","ban","no restrictions","ban"
"Singapore"," 2016","no restrictions","no restrictions","ban","partial restriction","partial restriction","partial restriction","no restrictions","partial restriction","no restrictions"
"Slovakia"," 2016","ban","ban","ban","ban","voluntary/self-restricted","ban","No data","ban","ban"
"Slovenia"," 2016","ban","no restrictions","ban","no restrictions","no restrictions","no restrictions","no restrictions","ban","ban"
"Solomon Islands"," 2016","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Somalia"," 2016","ban","ban","ban","ban","ban","ban","ban","ban","ban"
"South Africa"," 2016","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions"
"South Sudan"," 2016","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","no restrictions","no restrictions","no restrictions","voluntary/self-restricted","no restrictions","voluntary/self-restricted"
"Spain"," 2016","ban","partial restriction","partial restriction","partial restriction","partial restriction","no restrictions","no restrictions","ban","partial restriction"
"Sri Lanka"," 2016","partial restriction","partial restriction","partial restriction","no restrictions","partial restriction","partial restriction","voluntary/self-restricted","partial restriction","ban"
"Sudan"," 2016","ban","ban","ban","ban","ban","ban","ban","ban","ban"
"Suriname"," 2016","partial restriction","partial restriction","partial restriction","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions"
"Sweden"," 2016","voluntary/self-restricted","voluntary/self-restricted","no restrictions","voluntary/self-restricted","partial restriction","partial restriction","voluntary/self-restricted","partial restriction","voluntary/self-restricted"
"Switzerland"," 2016","voluntary/self-restricted","no restrictions","no restrictions","voluntary/self-restricted","no restrictions","no restrictions","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted"
"Syrian Arab Republic"," 2016","ban","ban","ban","partial restriction","ban","ban","ban","ban","ban"
"Tajikistan"," 2016","ban","ban","ban","partial restriction","partial restriction","ban","ban","ban","ban"
"Thailand"," 2016","partial restriction","partial restriction","partial restriction","no restrictions","partial restriction","ban","partial restriction","no restrictions","partial restriction"
"Republic of North Macedonia"," 2016","ban","partial restriction","ban","voluntary/self-restricted","no restrictions","ban","ban","ban","ban"
"Timor-Leste"," 2016","ban","ban","ban","partial restriction","partial restriction","ban","partial restriction","partial restriction","partial restriction"
"Togo"," 2016","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","partial restriction"
"Tonga"," 2016","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Trinidad and Tobago"," 2016","partial restriction","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","no restrictions","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted"
"Tunisia"," 2016","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Turkey"," 2016","ban","ban","ban","ban","no restrictions","ban","ban","ban","ban"
"Turkmenistan"," 2016","ban","ban","ban","ban","ban","ban","ban","ban","ban"
"Tuvalu"," 2016","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Uganda"," 2016","ban","ban","ban","no restrictions","voluntary/self-restricted","voluntary/self-restricted","voluntary/self-restricted","no restrictions","voluntary/self-restricted"
"Ukraine"," 2016","ban","ban","partial restriction","partial restriction","ban","ban","no restrictions","partial restriction","ban"
"United Arab Emirates"," 2016","ban","ban","ban","ban","ban","ban","ban","ban","ban"
"United Kingdom of Great Britain and Northern Ireland"," 2016","voluntary/self-restricted","no restrictions","voluntary/self-restricted","partial restriction","partial restriction","partial restriction","no restrictions","partial restriction","voluntary/self-restricted"
"United Republic of Tanzania"," 2016","ban","ban","ban","no restrictions","no restrictions","ban","ban","no restrictions","ban"
"United States of America"," 2016","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Uruguay"," 2016","ban","ban","ban","no restrictions","voluntary/self-restricted","voluntary/self-restricted","no restrictions","ban","ban"
"Uzbekistan"," 2016","ban","ban","ban","ban","ban","ban","ban","ban","ban"
"Vanuatu"," 2016","ban","ban","ban","partial restriction","partial restriction","ban","no restrictions","partial restriction","no restrictions"
"Venezuela (Bolivarian Republic of)"," 2016","No data","No data","No data","No data","No data","ban","No data","No data","No data"
"Viet Nam"," 2016","ban","ban","ban","no restrictions","no restrictions","no restrictions","no restrictions","no restrictions","ban"
"Yemen"," 2016","ban","ban","ban","ban","ban","ban","ban","ban","ban"
"Zambia"," 2016","voluntary/self-restricted","ban","ban","no restrictions","no restrictions","ban","voluntary/self-restricted","no restrictions","ban"
"Zimbabwe"," 2016","ban","ban","ban","no restrictions","ban","ban","ban","partial restriction","ban"
