,iso2,Alcohol Consompution Group,Value
771,AE,Mean_Alcom2_religion,1.991666666666667
66,AE,Alcohol_com1,2.1
630,AE,Mean_Alcom2_region,2.213513513513514
489,AE,Alcohol_com2,1.7
207,AE,Mean_Alcom1_region,2.2189189189189187
348,AE,Mean_Alcom1_religion,1.8374999999999995
82,AF,Alcohol_com1,0.0
646,AF,Mean_Alcom2_region,2.213513513513514
223,AF,Mean_Alcom1_region,2.2189189189189187
787,AF,Mean_Alcom2_religion,1.2833333333333334
505,AF,Alcohol_com2,0.0
364,AF,Mean_Alcom1_religion,1.2
525,AL,Alcohol_com2,5.7
666,AL,Mean_Alcom2_region,9.68888888888889
807,AL,Mean_Alcom2_religion,1.2833333333333334
243,AL,Mean_Alcom1_region,9.022222222222222
102,AL,Alcohol_com1,5.0
384,AL,Mean_Alcom1_religion,1.2
791,AM,Mean_Alcom2_religion,4.1
650,AM,Mean_Alcom2_region,9.68888888888889
509,AM,Alcohol_com2,4.1
86,AM,Alcohol_com1,3.8
227,AM,Mean_Alcom1_region,9.022222222222222
368,AM,Mean_Alcom1_religion,3.8
57,AO,Alcohol_com1,5.0
198,AO,Mean_Alcom1_region,2.955813953488373
339,AO,Mean_Alcom1_religion,3.0833333333333326
480,AO,Alcohol_com2,7.5
621,AO,Mean_Alcom2_region,3.0302325581395344
762,AO,Mean_Alcom2_religion,3.4
147,AR,Mean_Alcom1_region,5.278260869565217
6,AR,Alcohol_com1,8.4
429,AR,Alcohol_com2,8.2
711,AR,Mean_Alcom2_religion,7.699999999999999
570,AR,Mean_Alcom2_region,5.317391304347827
288,AR,Mean_Alcom1_religion,7.340540540540541
796,AT,Mean_Alcom2_religion,7.699999999999999
91,AT,Alcohol_com1,11.4
232,AT,Mean_Alcom1_region,8.454999999999998
655,AT,Mean_Alcom2_region,9.015
514,AT,Alcohol_com2,11.8
373,AT,Mean_Alcom1_religion,7.340540540540541
677,AU,Mean_Alcom2_region,9.015
536,AU,Alcohol_com2,10.5
113,AU,Alcohol_com1,9.7
818,AU,Mean_Alcom2_religion,7.699999999999999
254,AU,Mean_Alcom1_region,8.454999999999998
395,AU,Mean_Alcom1_religion,7.340540540540541
260,AZ,Mean_Alcom1_region,9.022222222222222
824,AZ,Mean_Alcom2_religion,1.991666666666667
542,AZ,Alcohol_com2,1.9
401,AZ,Mean_Alcom1_religion,1.8374999999999995
683,AZ,Mean_Alcom2_region,9.68888888888889
119,AZ,Alcohol_com1,0.5
78,BD,Alcohol_com1,0.0
501,BD,Alcohol_com2,0.0
219,BD,Mean_Alcom1_region,2.2189189189189187
642,BD,Mean_Alcom2_region,2.213513513513514
360,BD,Mean_Alcom1_religion,1.8374999999999995
783,BD,Mean_Alcom2_religion,1.991666666666667
670,BE,Mean_Alcom2_region,9.015
388,BE,Mean_Alcom1_religion,7.340540540540541
106,BE,Alcohol_com1,10.4
529,BE,Alcohol_com2,10.2
247,BE,Mean_Alcom1_region,8.454999999999998
811,BE,Mean_Alcom2_religion,7.699999999999999
614,BF,Mean_Alcom2_region,3.0302325581395344
332,BF,Mean_Alcom1_religion,1.8374999999999995
191,BF,Mean_Alcom1_region,2.955813953488373
473,BF,Alcohol_com2,4.6
755,BF,Mean_Alcom2_religion,1.991666666666667
50,BF,Alcohol_com1,4.9
98,BG,Alcohol_com1,11.4
521,BG,Alcohol_com2,11.0
239,BG,Mean_Alcom1_region,9.022222222222222
803,BG,Mean_Alcom2_religion,10.633333333333333
662,BG,Mean_Alcom2_region,9.68888888888889
380,BG,Mean_Alcom1_religion,9.133333333333333
481,BI,Alcohol_com2,4.1
622,BI,Mean_Alcom2_region,3.0302325581395344
58,BI,Alcohol_com1,4.1
199,BI,Mean_Alcom1_region,2.955813953488373
340,BI,Mean_Alcom1_religion,7.340540540540541
763,BI,Mean_Alcom2_religion,7.699999999999999
745,BJ,Mean_Alcom2_religion,3.4
604,BJ,Mean_Alcom2_region,3.0302325581395344
181,BJ,Mean_Alcom1_region,2.955813953488373
40,BJ,Alcohol_com1,1.6
463,BJ,Alcohol_com2,1.3
322,BJ,Mean_Alcom1_religion,3.0833333333333326
724,BR,Mean_Alcom2_religion,7.699999999999999
442,BR,Alcohol_com2,7.3
583,BR,Mean_Alcom2_region,5.317391304347827
301,BR,Mean_Alcom1_religion,7.340540540540541
19,BR,Alcohol_com1,6.5
160,BR,Mean_Alcom1_region,5.278260869565217
578,BS,Mean_Alcom2_region,5.317391304347827
155,BS,Mean_Alcom1_region,5.278260869565217
719,BS,Mean_Alcom2_religion,8.8
296,BS,Mean_Alcom1_religion,8.7
437,BS,Alcohol_com2,8.8
14,BS,Alcohol_com1,8.7
643,BT,Mean_Alcom2_region,2.213513513513514
784,BT,Mean_Alcom2_religion,2.58
79,BT,Alcohol_com1,0.2
361,BT,Mean_Alcom1_religion,2.9199999999999995
502,BT,Alcohol_com2,0.5
220,BT,Mean_Alcom1_region,2.2189189189189187
317,BW,Mean_Alcom1_religion,4.74
176,BW,Mean_Alcom1_region,2.955813953488373
740,BW,Mean_Alcom2_religion,4.609999999999999
458,BW,Alcohol_com2,5.6
599,BW,Mean_Alcom2_region,3.0302325581395344
35,BW,Alcohol_com1,6.2
370,BY,Mean_Alcom1_religion,9.133333333333333
229,BY,Mean_Alcom1_region,9.022222222222222
511,BY,Alcohol_com2,14.3
793,BY,Mean_Alcom2_religion,10.633333333333333
88,BY,Alcohol_com1,9.6
652,BY,Mean_Alcom2_region,9.68888888888889
451,BZ,Alcohol_com2,6.4
28,BZ,Alcohol_com1,6.2
169,BZ,Mean_Alcom1_region,5.278260869565217
592,BZ,Mean_Alcom2_region,5.317391304347827
310,BZ,Mean_Alcom1_religion,7.340540540540541
733,BZ,Mean_Alcom2_religion,7.699999999999999
706,CA,Mean_Alcom2_religion,7.699999999999999
1,CA,Alcohol_com1,8.1
283,CA,Mean_Alcom1_religion,7.340540540540541
142,CA,Mean_Alcom1_region,8.454999999999998
565,CA,Mean_Alcom2_region,9.015
424,CA,Alcohol_com2,8.3
474,CF,Alcohol_com2,1.7
192,CF,Mean_Alcom1_region,2.955813953488373
333,CF,Mean_Alcom1_religion,3.0833333333333326
756,CF,Mean_Alcom2_religion,3.4
615,CF,Mean_Alcom2_region,3.0302325581395344
51,CF,Alcohol_com1,1.7
668,CH,Mean_Alcom2_region,9.015
386,CH,Mean_Alcom1_religion,7.340540540540541
527,CH,Alcohol_com2,10.1
245,CH,Mean_Alcom1_region,8.454999999999998
809,CH,Mean_Alcom2_religion,7.699999999999999
104,CH,Alcohol_com1,9.5
289,CL,Mean_Alcom1_religion,7.340540540540541
571,CL,Mean_Alcom2_region,5.317391304347827
7,CL,Alcohol_com1,7.9
148,CL,Mean_Alcom1_region,5.278260869565217
712,CL,Mean_Alcom2_religion,7.699999999999999
430,CL,Alcohol_com2,7.4
466,CM,Alcohol_com2,6.1
184,CM,Mean_Alcom1_region,2.955813953488373
748,CM,Mean_Alcom2_religion,3.4
43,CM,Alcohol_com1,6.5
325,CM,Mean_Alcom1_religion,3.0833333333333326
607,CM,Mean_Alcom2_region,3.0302325581395344
538,CN,Alcohol_com2,5.4
397,CN,Mean_Alcom1_religion,5.7
820,CN,Mean_Alcom2_religion,5.4
115,CN,Alcohol_com1,5.7
256,CN,Mean_Alcom1_region,2.2189189189189187
679,CN,Mean_Alcom2_region,2.213513513513514
444,CO,Alcohol_com2,4.3
585,CO,Mean_Alcom2_region,5.317391304347827
162,CO,Mean_Alcom1_region,5.278260869565217
21,CO,Alcohol_com1,4.5
303,CO,Mean_Alcom1_religion,7.340540540540541
726,CO,Mean_Alcom2_religion,7.699999999999999
446,CR,Alcohol_com2,3.8
23,CR,Alcohol_com1,3.7
728,CR,Mean_Alcom2_religion,7.699999999999999
305,CR,Mean_Alcom1_religion,7.340540540540541
164,CR,Mean_Alcom1_region,5.278260869565217
587,CR,Mean_Alcom2_region,5.317391304347827
738,CU,Mean_Alcom2_religion,5.2
33,CU,Alcohol_com1,4.7
174,CU,Mean_Alcom1_region,5.278260869565217
315,CU,Mean_Alcom1_religion,5.400000000000001
597,CU,Mean_Alcom2_region,5.317391304347827
456,CU,Alcohol_com2,4.1
836,CY,Mean_Alcom2_religion,10.633333333333333
272,CY,Mean_Alcom1_region,2.2189189189189187
413,CY,Mean_Alcom1_religion,9.133333333333333
131,CY,Alcohol_com1,9.6
554,CY,Alcohol_com2,10.9
695,CY,Mean_Alcom2_region,2.213513513513514
97,DE,Alcohol_com1,11.3
238,DE,Mean_Alcom1_region,8.454999999999998
379,DE,Mean_Alcom1_religion,9.016666666666667
520,DE,Alcohol_com2,11.6
802,DE,Mean_Alcom2_religion,9.333333333333334
661,DE,Mean_Alcom2_region,9.015
136,DJ,Alcohol_com1,0.4
841,DJ,Mean_Alcom2_religion,1.991666666666667
700,DJ,Mean_Alcom2_region,3.0302325581395344
559,DJ,Alcohol_com2,0.5
418,DJ,Mean_Alcom1_religion,1.8374999999999995
277,DJ,Mean_Alcom1_region,2.955813953488373
399,DK,Mean_Alcom1_religion,9.016666666666667
117,DK,Alcohol_com1,9.5
258,DK,Mean_Alcom1_region,8.454999999999998
822,DK,Mean_Alcom2_religion,9.333333333333334
540,DK,Alcohol_com2,10.2
681,DK,Mean_Alcom2_region,9.015
436,DO,Alcohol_com2,6.1
718,DO,Mean_Alcom2_religion,7.699999999999999
577,DO,Mean_Alcom2_region,5.317391304347827
295,DO,Mean_Alcom1_religion,7.340540540540541
13,DO,Alcohol_com1,5.7
154,DO,Mean_Alcom1_region,5.278260869565217
64,DZ,Alcohol_com1,0.6
769,DZ,Mean_Alcom2_religion,1.2833333333333334
628,DZ,Mean_Alcom2_region,3.0302325581395344
487,DZ,Alcohol_com2,0.4
205,DZ,Mean_Alcom1_region,2.955813953488373
346,DZ,Mean_Alcom1_religion,1.2
313,EC,Mean_Alcom1_religion,7.340540540540541
736,EC,Mean_Alcom2_religion,7.699999999999999
31,EC,Alcohol_com1,3.3
595,EC,Mean_Alcom2_region,5.317391304347827
454,EC,Alcohol_com2,3.9
172,EC,Mean_Alcom1_region,5.278260869565217
96,EE,Alcohol_com1,15.8
801,EE,Mean_Alcom2_religion,9.333333333333334
519,EE,Alcohol_com2,15.2
660,EE,Mean_Alcom2_region,9.68888888888889
237,EE,Mean_Alcom1_region,9.022222222222222
378,EE,Mean_Alcom1_religion,9.016666666666667
274,EG,Mean_Alcom1_region,2.955813953488373
133,EG,Alcohol_com1,0.2
697,EG,Mean_Alcom2_region,3.0302325581395344
838,EG,Mean_Alcom2_religion,0.2
415,EG,Mean_Alcom1_religion,0.2
556,EG,Alcohol_com2,0.2
549,ER,Alcohol_com2,0.6
690,ER,Mean_Alcom2_region,3.0302325581395344
267,ER,Mean_Alcom1_region,2.955813953488373
126,ER,Alcohol_com1,0.6
831,ER,Mean_Alcom2_religion,1.2833333333333334
408,ER,Mean_Alcom1_religion,1.2
814,ES,Mean_Alcom2_religion,7.699999999999999
673,ES,Mean_Alcom2_region,9.015
109,ES,Alcohol_com1,8.5
391,ES,Mean_Alcom1_religion,7.340540540540541
250,ES,Mean_Alcom1_region,8.454999999999998
532,ES,Alcohol_com2,9.6
417,ET,Mean_Alcom1_religion,1.8374999999999995
558,ET,Alcohol_com2,0.8
276,ET,Mean_Alcom1_region,2.955813953488373
840,ET,Mean_Alcom2_religion,1.991666666666667
699,ET,Mean_Alcom2_region,3.0302325581395344
135,ET,Alcohol_com1,1.4
829,FI,Mean_Alcom2_religion,9.333333333333334
265,FI,Mean_Alcom1_region,8.454999999999998
406,FI,Mean_Alcom1_religion,9.016666666666667
547,FI,Alcohol_com2,9.8
688,FI,Mean_Alcom2_region,9.015
124,FI,Alcohol_com1,8.4
705,FJ,Mean_Alcom2_religion,4.609999999999999
423,FJ,Alcohol_com2,2.2
282,FJ,Mean_Alcom1_religion,4.74
564,FJ,Mean_Alcom2_region,2.213513513513514
0,FJ,Alcohol_com1,2.2
141,FJ,Mean_Alcom1_region,2.2189189189189187
475,GA,Alcohol_com2,8.7
334,GA,Mean_Alcom1_religion,4.74
757,GA,Mean_Alcom2_religion,4.609999999999999
52,GA,Alcohol_com1,9.5
616,GA,Mean_Alcom2_region,3.0302325581395344
193,GA,Mean_Alcom1_region,2.955813953488373
825,GE,Mean_Alcom2_religion,10.633333333333333
543,GE,Alcohol_com2,7.9
261,GE,Mean_Alcom1_region,9.022222222222222
120,GE,Alcohol_com1,7.4
684,GE,Mean_Alcom2_region,9.68888888888889
402,GE,Mean_Alcom1_religion,9.133333333333333
186,GH,Mean_Alcom1_region,2.955813953488373
45,GH,Alcohol_com1,1.6
609,GH,Mean_Alcom2_region,3.0302325581395344
468,GH,Alcohol_com2,1.9
327,GH,Mean_Alcom1_religion,4.74
750,GH,Mean_Alcom2_religion,4.609999999999999
485,GM,Alcohol_com2,3.0
344,GM,Mean_Alcom1_religion,1.8374999999999995
767,GM,Mean_Alcom2_religion,1.991666666666667
626,GM,Mean_Alcom2_region,3.0302325581395344
62,GM,Alcohol_com1,3.0
203,GM,Mean_Alcom1_region,2.955813953488373
469,GN,Alcohol_com2,0.2
46,GN,Alcohol_com1,0.4
187,GN,Mean_Alcom1_region,2.955813953488373
751,GN,Mean_Alcom2_religion,1.991666666666667
328,GN,Mean_Alcom1_religion,1.8374999999999995
610,GN,Mean_Alcom2_region,3.0302325581395344
476,GQ,Alcohol_com2,9.5
53,GQ,Alcohol_com1,9.9
758,GQ,Mean_Alcom2_religion,5.2
617,GQ,Mean_Alcom2_region,3.0302325581395344
335,GQ,Mean_Alcom1_religion,5.400000000000001
194,GQ,Mean_Alcom1_region,2.955813953488373
522,GR,Alcohol_com2,8.7
99,GR,Alcohol_com1,6.4
240,GR,Mean_Alcom1_region,8.454999999999998
381,GR,Mean_Alcom1_religion,9.133333333333333
663,GR,Mean_Alcom2_region,9.015
804,GR,Mean_Alcom2_religion,10.633333333333333
450,GT,Alcohol_com2,2.0
168,GT,Mean_Alcom1_region,5.278260869565217
27,GT,Alcohol_com1,1.6
591,GT,Mean_Alcom2_region,5.317391304347827
309,GT,Mean_Alcom1_religion,5.400000000000001
732,GT,Mean_Alcom2_religion,5.2
611,GW,Mean_Alcom2_region,3.0302325581395344
752,GW,Mean_Alcom2_religion,3.4
470,GW,Alcohol_com2,2.8
329,GW,Mean_Alcom1_religion,3.0833333333333326
188,GW,Mean_Alcom1_region,2.955813953488373
47,GW,Alcohol_com1,2.8
734,GY,Mean_Alcom2_religion,4.609999999999999
311,GY,Mean_Alcom1_religion,4.74
170,GY,Mean_Alcom1_region,5.278260869565217
29,GY,Alcohol_com1,5.1
452,GY,Alcohol_com2,5.1
593,GY,Mean_Alcom2_region,5.317391304347827
730,HN,Mean_Alcom2_religion,7.699999999999999
25,HN,Alcohol_com1,2.9
589,HN,Mean_Alcom2_region,5.317391304347827
166,HN,Mean_Alcom1_region,5.278260869565217
448,HN,Alcohol_com2,2.9
307,HN,Mean_Alcom1_religion,7.340540540540541
103,HR,Alcohol_com1,9.9
526,HR,Alcohol_com2,12.2
667,HR,Mean_Alcom2_region,9.68888888888889
385,HR,Mean_Alcom1_religion,7.340540540540541
808,HR,Mean_Alcom2_religion,7.699999999999999
244,HR,Mean_Alcom1_region,9.022222222222222
294,HT,Mean_Alcom1_religion,7.340540540540541
717,HT,Mean_Alcom2_religion,7.699999999999999
12,HT,Alcohol_com1,5.8
576,HT,Mean_Alcom2_region,5.317391304347827
435,HT,Alcohol_com2,5.8
153,HT,Mean_Alcom1_region,5.278260869565217
92,HU,Alcohol_com1,10.9
797,HU,Mean_Alcom2_religion,7.699999999999999
515,HU,Alcohol_com2,11.2
374,HU,Mean_Alcom1_religion,7.340540540540541
656,HU,Mean_Alcom2_region,9.68888888888889
233,HU,Mean_Alcom1_region,9.022222222222222
428,ID,Alcohol_com2,0.1
710,ID,Mean_Alcom2_religion,1.991666666666667
569,ID,Mean_Alcom2_region,2.213513513513514
146,ID,Mean_Alcom1_region,2.2189189189189187
5,ID,Alcohol_com1,0.3
287,ID,Mean_Alcom1_religion,1.8374999999999995
533,IE,Alcohol_com2,11.5
674,IE,Mean_Alcom2_region,9.015
392,IE,Mean_Alcom1_religion,7.340540540540541
815,IE,Mean_Alcom2_religion,7.699999999999999
110,IE,Alcohol_com1,11.3
251,IE,Mean_Alcom1_region,8.454999999999998
764,IL,Mean_Alcom2_religion,2.6
341,IL,Mean_Alcom1_religion,2.6
59,IL,Alcohol_com1,2.6
623,IL,Mean_Alcom2_region,9.015
482,IL,Alcohol_com2,2.6
200,IL,Mean_Alcom1_region,8.454999999999998
77,IN,Alcohol_com1,3.0
500,IN,Alcohol_com2,2.7
782,IN,Mean_Alcom2_religion,1.4500000000000002
359,IN,Mean_Alcom1_religion,1.8
641,IN,Mean_Alcom2_region,2.213513513513514
218,IN,Mean_Alcom1_region,2.2189189189189187
69,IQ,Alcohol_com1,0.2
492,IQ,Alcohol_com2,0.2
774,IQ,Mean_Alcom2_religion,1.991666666666667
633,IQ,Mean_Alcom2_region,2.213513513513514
210,IQ,Mean_Alcom1_region,2.2189189189189187
351,IQ,Mean_Alcom1_religion,1.8374999999999995
400,IS,Mean_Alcom1_religion,6.533333333333334
118,IS,Alcohol_com1,7.7
682,IS,Mean_Alcom2_region,9.015
541,IS,Alcohol_com2,7.0
259,IS,Mean_Alcom1_region,8.454999999999998
823,IS,Mean_Alcom2_religion,5.933333333333334
539,IT,Alcohol_com2,6.8
257,IT,Mean_Alcom1_region,8.454999999999998
398,IT,Mean_Alcom1_religion,7.340540540540541
680,IT,Mean_Alcom2_region,9.015
116,IT,Alcohol_com1,7.1
821,IT,Mean_Alcom2_religion,7.699999999999999
737,JM,Mean_Alcom2_religion,3.0
173,JM,Mean_Alcom1_region,5.278260869565217
455,JM,Alcohol_com2,3.0
596,JM,Mean_Alcom2_region,5.317391304347827
314,JM,Mean_Alcom1_religion,3.4
32,JM,Alcohol_com1,3.4
488,JO,Alcohol_com2,0.5
770,JO,Mean_Alcom2_religion,0.7333333333333333
347,JO,Mean_Alcom1_religion,0.6666666666666666
206,JO,Mean_Alcom1_region,2.2189189189189187
629,JO,Mean_Alcom2_region,2.213513513513514
65,JO,Alcohol_com1,0.4
409,JP,Mean_Alcom1_religion,6.9
691,JP,Mean_Alcom2_region,2.213513513513514
127,JP,Alcohol_com1,6.9
550,JP,Alcohol_com2,6.9
268,JP,Mean_Alcom1_region,2.2189189189189187
832,JP,Mean_Alcom2_religion,6.9
432,KE,Alcohol_com2,1.9
291,KE,Mean_Alcom1_religion,9.016666666666667
714,KE,Mean_Alcom2_religion,9.333333333333334
150,KE,Mean_Alcom1_region,2.955813953488373
573,KE,Mean_Alcom2_region,3.0302325581395344
9,KE,Alcohol_com1,1.9
366,KG,Mean_Alcom1_religion,1.8374999999999995
225,KG,Mean_Alcom1_region,2.2189189189189187
648,KG,Mean_Alcom2_region,2.213513513513514
789,KG,Mean_Alcom2_religion,1.991666666666667
84,KG,Alcohol_com1,4.1
507,KG,Alcohol_com2,6.0
354,KH,Mean_Alcom1_religion,2.9199999999999995
